Time (min),Temperature (°C),Weight (mg),Weight (%)
253.08,510.79,0.558,4.093
253.25,511.1,0.55,4.03
253.42,511.42,0.541,3.967
253.58,511.73,0.533,3.905
253.75,512.05,0.524,3.844
253.92,512.36,0.516,3.783
254.08,512.68,0.508,3.723
254.25,512.98,0.5,3.663
254.42,513.29,0.491,3.604
254.58,513.6,0.483,3.545
254.75,513.9,0.476,3.487
254.92,514.21,0.468,3.43
255.08,514.51,0.46,3.373
255.25,514.82,0.452,3.317
255.42,515.14,0.445,3.261
255.58,515.45,0.437,3.206
255.75,515.77,0.43,3.151
255.92,516.09,0.422,3.097
256.08,516.41,0.415,3.044
256.25,516.72,0.408,2.992
256.42,517.03,0.401,2.94
256.58,517.35,0.394,2.888
256.75,517.65,0.387,2.838
256.92,517.96,0.38,2.787
257.08,518.28,0.373,2.738
257.25,518.6,0.367,2.689
257.42,518.92,0.36,2.641
257.58,519.23,0.354,2.593
257.75,519.54,0.347,2.547
257.92,519.85,0.341,2.5
258.08,520.15,0.335,2.455
258.25,520.46,0.329,2.41
258.42,520.77,0.323,2.366
258.58,521.09,0.317,2.322
258.75,521.4,0.311,2.279
258.92,521.71,0.305,2.237
259.08,522.02,0.299,2.195
259.25,522.33,0.294,2.153
259.42,522.65,0.288,2.113
259.58,522.95,0.283,2.073
259.75,523.26,0.277,2.034
259.92,523.57,0.272,1.995
260.08,523.88,0.267,1.957
260.25,524.19,0.262,1.919
260.42,524.51,0.257,1.882
260.58,524.81,0.252,1.846
260.75,525.13,0.247,1.81
260.92,525.44,0.242,1.775
261.08,525.74,0.237,1.74
261.25,526.05,0.233,1.706
261.42,526.37,0.228,1.673
261.58,526.68,0.224,1.64
261.75,526.99,0.219,1.608
261.92,527.29,0.215,1.576
262.08,527.61,0.211,1.545
262.25,527.93,0.206,1.514
262.42,528.24,0.202,1.484
262.58,528.55,0.198,1.455
262.75,528.86,0.194,1.426
262.92,529.17,0.191,1.397
263.08,529.47,0.187,1.369
263.25,529.78,0.183,1.341
263.42,530.09,0.179,1.314
263.58,530.4,0.176,1.288
263.75,530.71,0.172,1.262
263.92,531.02,0.169,1.236
264.08,531.33,0.165,1.211
264.25,531.65,0.162,1.186
264.42,531.96,0.158,1.162
264.58,532.27,0.155,1.138
264.75,532.59,0.152,1.115
264.92,532.9,0.149,1.093
265.08,533.21,0.146,1.07
265.25,533.52,0.143,1.048
265.42,533.82,0.14,1.027
265.58,534.14,0.137,1.006
265.75,534.44,0.134,0.986
265.92,534.75,0.132,0.966
266.08,535.06,0.129,0.946
266.25,535.37,0.126,0.927
266.42,535.68,0.124,0.908
266.58,535.99,0.121,0.89
266.75,536.29,0.119,0.871
266.92,536.6,0.116,0.854
267.08,536.9,0.114,0.836
267.25,537.22,0.112,0.819
267.42,537.53,0.109,0.803
267.58,537.84,0.107,0.787
267.75,538.15,0.105,0.771
267.92,538.46,0.103,0.755
268.08,538.77,0.101,0.74
268.25,539.08,0.099,0.726
268.42,539.38,0.097,0.711
268.58,539.69,0.095,0.697
268.75,540,0.093,0.683
268.92,540.32,0.091,0.67
269.08,540.63,0.09,0.657
269.25,540.94,0.088,0.644
269.42,541.25,0.086,0.631
269.58,541.56,0.084,0.619
269.75,541.87,0.083,0.607
269.92,542.18,0.081,0.595
270.08,542.49,0.08,0.584
270.25,542.81,0.078,0.573
270.42,543.11,0.077,0.562
270.58,543.42,0.075,0.551
270.75,543.73,0.074,0.541
270.92,544.04,0.072,0.531
271.08,544.34,0.071,0.521
271.25,544.63,0.07,0.512
271.42,544.94,0.069,0.503
271.58,545.25,0.067,0.494
271.75,545.57,0.066,0.485
271.92,545.88,0.065,0.476
272.08,546.19,0.064,0.468
272.25,546.49,0.063,0.46
272.42,546.8,0.062,0.452
272.58,547.11,0.061,0.444
272.75,547.43,0.06,0.437
272.92,547.74,0.059,0.43
273.08,548.04,0.058,0.423
273.25,548.35,0.057,0.416
273.42,548.67,0.056,0.409
273.58,548.98,0.055,0.402
273.75,549.29,0.054,0.396
273.92,549.6,0.053,0.389
274.08,549.91,0.052,0.384
274.25,550.22,0.052,0.378
274.42,550.53,0.051,0.372
274.58,550.84,0.05,0.367
274.75,551.15,0.049,0.362
274.92,551.46,0.049,0.356
275.08,551.76,0.048,0.351
275.25,552.07,0.047,0.346
275.42,552.37,0.047,0.342
275.58,552.69,0.046,0.337
275.75,553,0.045,0.333
275.92,553.31,0.045,0.329
276.08,553.62,0.044,0.325
276.25,553.94,0.044,0.321
276.42,554.25,0.043,0.317
276.58,554.56,0.043,0.313
276.75,554.87,0.042,0.31
276.92,555.18,0.042,0.306
277.08,555.49,0.041,0.302
277.25,555.79,0.041,0.299
277.42,556.11,0.04,0.296
277.58,556.42,0.04,0.293
277.75,556.73,0.04,0.29
277.92,557.03,0.039,0.287
278.08,557.34,0.039,0.285
278.25,557.65,0.038,0.282
278.42,557.95,0.038,0.279
278.58,558.25,0.038,0.277
278.75,558.55,0.037,0.275
278.92,558.87,0.037,0.272
279.08,559.18,0.037,0.27
279.25,559.5,0.037,0.268
279.42,559.82,0.036,0.266
279.58,560.12,0.036,0.264
279.75,560.43,0.036,0.262
279.92,560.73,0.036,0.26
280.08,561.04,0.035,0.259
280.25,561.35,0.035,0.257
280.42,561.67,0.035,0.255
280.58,561.98,0.035,0.254
280.75,562.29,0.034,0.252
280.92,562.6,0.034,0.251
281.08,562.9,0.034,0.249
281.25,563.21,0.034,0.248
281.42,563.52,0.034,0.247
281.58,563.82,0.033,0.246
281.75,564.13,0.033,0.245
281.92,564.44,0.033,0.243
282.08,564.75,0.033,0.242
282.25,565.05,0.033,0.241
282.42,565.36,0.033,0.24
282.58,565.66,0.033,0.239
282.75,565.98,0.033,0.239
282.92,566.29,0.032,0.238
283.08,566.6,0.032,0.237
283.25,566.91,0.032,0.236
283.42,567.22,0.032,0.236
283.58,567.54,0.032,0.235
283.75,567.83,0.032,0.235
283.92,568.13,0.032,0.234
284.08,568.44,0.032,0.233
284.25,568.75,0.032,0.233
284.42,569.07,0.032,0.232
284.58,569.37,0.032,0.232
284.75,569.68,0.032,0.231
284.92,569.99,0.031,0.231
285.08,570.29,0.031,0.231
285.25,570.59,0.031,0.23
285.42,570.89,0.031,0.23
285.58,571.2,0.031,0.23
285.75,571.52,0.031,0.23
285.92,571.83,0.031,0.229
286.08,572.13,0.031,0.229
286.25,572.44,0.031,0.229
286.42,572.74,0.031,0.229
286.58,573.05,0.031,0.229
286.75,573.36,0.031,0.229
286.92,573.67,0.031,0.229
287.08,573.99,0.031,0.229
287.25,574.29,0.031,0.229
287.42,574.59,0.031,0.229
287.58,574.89,0.031,0.229
287.75,575.19,0.031,0.228
287.92,575.5,0.031,0.228
288.08,575.81,0.031,0.229
288.25,576.12,0.031,0.228
288.42,576.43,0.031,0.229
288.58,576.73,0.031,0.229
288.75,577.04,0.031,0.229
288.92,577.34,0.031,0.229
289.08,577.64,0.031,0.229
289.25,577.94,0.031,0.229
289.42,578.24,0.031,0.229
289.58,578.54,0.031,0.23
289.75,578.84,0.031,0.23
289.92,579.14,0.031,0.23
290.08,579.43,0.031,0.23
290.25,579.73,0.031,0.23
290.42,580.04,0.031,0.231
290.58,580.34,0.032,0.232
290.75,580.63,0.032,0.231
290.92,580.93,0.032,0.231
291.08,581.22,0.032,0.231
291.25,581.51,0.032,0.231
291.42,581.81,0.032,0.232
291.58,582.11,0.032,0.232
291.75,582.4,0.032,0.232
291.92,582.7,0.032,0.232
292.08,582.99,0.032,0.233
292.25,583.28,0.032,0.233
292.42,583.58,0.032,0.234
292.58,583.88,0.032,0.234
292.75,584.17,0.032,0.234
292.92,584.46,0.032,0.235
293.08,584.75,0.032,0.235
293.25,585.04,0.032,0.235
293.42,585.34,0.032,0.236
293.58,585.63,0.032,0.236
293.75,585.94,0.032,0.237
293.92,586.24,0.032,0.238
294.08,586.53,0.032,0.238
294.25,586.83,0.033,0.239
294.42,587.13,0.033,0.239
294.58,587.43,0.033,0.24
294.75,587.73,0.033,0.24
294.92,588.02,0.033,0.24
295.08,588.31,0.033,0.241
295.25,588.6,0.033,0.241
295.42,588.9,0.033,0.242
295.58,589.2,0.033,0.242
295.75,589.5,0.033,0.243
295.92,589.81,0.033,0.243
296.08,590.11,0.033,0.244
296.25,590.41,0.033,0.244
296.42,590.7,0.033,0.245
296.58,591,0.033,0.245
296.75,591.29,0.033,0.245
296.92,591.58,0.034,0.246
297.08,591.87,0.034,0.247
297.25,592.17,0.034,0.247
297.42,592.47,0.034,0.248
297.58,592.77,0.034,0.248
297.75,593.08,0.034,0.249
297.92,593.37,0.034,0.249
298.08,593.67,0.034,0.25
298.25,593.97,0.034,0.25
298.42,594.27,0.034,0.251
298.58,594.56,0.034,0.251
298.75,594.86,0.034,0.251
298.92,595.16,0.034,0.252
299.08,595.45,0.034,0.253
299.25,595.74,0.035,0.253
299.42,596.04,0.035,0.254
299.58,596.34,0.035,0.255
299.75,596.63,0.035,0.255
299.92,596.93,0.035,0.256
300.08,597.23,0.035,0.257
300.25,597.52,0.035,0.257
300.42,597.82,0.035,0.258
300.58,598.11,0.035,0.258
300.75,598.41,0.035,0.259
300.92,598.69,0.035,0.26
301.08,598.98,0.035,0.26
